Time,ED_AI_0364,ED_AI_0395,ED_AI_0339,ED_AI_0338,ED_AI_0337,ED_AI_0336,ED_AI_0436,ED_AI_0437,ED_AI_0438,ED_AI_0439,ED_AI_0316,ED_AI_0317,ED_AI_0318,ED_AI_0319,ED_AI_0419,ED_AI_0418,ED_AI_0417,ED_AI_0416,ED_AI_0387,ED_AI_0397,ED_AI_0487,ED_AI_0410,ED_AI_0310,ED_AI_0343,ED_AI_0443,ED_AI_0366,ED_AI_0367,ED_AI_0368,ED_AI_0369,ED_AI_0469,ED_AI_0468,ED_AI_0467,ED_AI_0466,EI_AI_0110,EH_AC_3034,EH_AC_3035,EH_AC_3037,EH_AC_3040,EH_AC_3053,EH_AC_3054,EH_AC_3056,EH_AC_3059
2015/11/11,22391.63085937,13454.63378906,309.66690063,360.69683838,355.63500977,352.45504761,357.36740112,358.36468506,359.01669312,321.70166016,630.36254883,610.63531494,631.08428955,582.4473877,571.52197266,615.4866333,613.13134766,611.23620605,1225.23266602,1156.98193359,1182.60864258,818.42913818,826.6383667,1.06780648,0.90343064,2.53952813,2.64874578,2.48242855,2.36588192,2.5486908,2.63474488,2.14887309,2.01866865,712.94622803,13.48307705,30.01190186,29.3008213,10.90731525,13.85453701,30.56965446,29.5602932,10.85829067
2015/11/12,23446.71289062,14546.54980469,332.92440796,360.39868164,358.50952148,351.55175781,355.80389404,355.82009888,357.32971191,320.27215576,631.22271729,613.55773926,632.26953125,597.19854736,568.85577393,613.65039062,610.02856445,609.95574951,1237.91503906,1173.8737793,1196.09179687,817.0791626,827.87042236,1.09549248,0.937222,2.68638802,2.78078198,2.65637374,2.76016212,2.76975179,2.8160162,2.37416601,2.75842571,713.24926758,13.48307705,30.01190186,29.3008213,10.90731525,13.705863,30.04852486,29.23367882,11.11178875
2015/11/13,22434.12695312,13187.39941406,331.72003174,360.57669067,357.65509033,351.55175781,355.51849365,355.06787109,355.83496094,320.04779053,630.21783447,611.0300293,631.0758667,594.71569824,569.58666992,612.40582275,609.6842041,608.98907471,1224.90893555,1155.06994629,1181.47290039,812.72302246,826.57788086,1.06320596,0.95593208,2.44394898,2.64302087,2.44660378,2.42562342,2.53599238,2.58049512,2.28570366,1.84261191,712.69824219,13.48307705,30.01190186,29.3008213,10.90731525,13.70697021,30.30280685,29.5417881,11.09990311
2015/11/14,23060.3203125,13803.33300781,333.14660645,363.14810181,360.65835571,354.59259033,357.80722046,357.94805908,357.94805908,319.85913086,635.51660156,616.72924805,635.7310791,599.49182129,571.5645752,615.36419678,614.6975708,613.06719971,1239.38305664,1170.88964844,1194.12268066,819.79937744,832.09997559,1.04059815,0.99923897,2.54096222,2.71283412,2.52842569,2.56361389,2.66313648,2.70804358,2.27627158,2.60283947,714.49383545,13.48307705,30.01190186,29.3008213,10.90731525,13.94085598,30.78096771,29.68022156,10.69063377
2015/11/15,22901.33789062,13156.63867188,333.36907959,361.69226074,360.09051514,353.03674316,358.83242798,358.79223633,357.20947266,319.20977783,635.03918457,618.39013672,635.65643311,601.0324707,571.84552002,616.1663208,617.74121094,616.15338135,1236.1862793,1167.92443848,1193.27868652,822.16815186,832.98602295,1.06424379,0.91410774,2.50276089,2.77916527,2.49684429,2.49092102,2.62743688,2.62774777,2.46098661,2.58725643,714.84759521,13.48307705,30.01190186,29.3008213,10.90731525,14.04767036,30.9640789,29.60295296,10.50141907
2015/11/16,22422.6875,13394.26757813,331.3795166,361.31710815,358.84896851,352.1769104,355.9045105,357.40802002,354.54373169,315.83508301,635.01275635,616.50805664,635.35662842,599.24182129,568.2623291,614.60571289,616.21655273,612.77423096,1231.81604004,1163.00524902,1192.74572754,820.97845459,830.77355957,1.06604767,0.96300346,2.46562481,2.70230031,2.46953773,1.57227111,2.62780833,2.64249754,2.48442817,2.70753384,715.33178711,13.48307705,30.01190186,29.3008213,10.90731525,14.04586792,30.70148849,29.61460876,10.4788065
2015/11/17,24274.50390625,14702.24023438,331.1574707,360.19552612,358.65844727,351.22879028,355.86743164,356.1300354,354.4616394,315.83508301,635.65606689,618.52154541,635.96691895,601.25158691,570.55224609,616.74133301,617.13781738,614.98956299,1247.75610352,1191.40661621,1209.62548828,820.52062988,829.9574585,1.08550942,0.93295878,2.74762297,2.98697138,2.70330977,2.2760148,2.88115907,2.92473936,2.57295394,2.86922908,716.18994141,13.48307705,30.01190186,29.3008213,10.90731525,14.03439045,30.54395294,29.71310234,10.4997015
2015/11/18,23387.3828125,13268.13378906,328.25042725,357.91946411,355.45263672,348.24298096,352.23614502,353.97924805,349.72079468,312.85394287,631.60638428,614.28186035,633.15814209,596.67675781,565.64733887,610.9432373,613.13134766,610.03704834,1236.6237793,1170.46447754,1195.28601074,814.97827148,825.46606445,1.09453666,0.93878454,2.51612186,2.79893064,2.49755096,2.74778152,2.70373654,2.69065809,2.51160407,2.824435,719.56604004,13.48307705,30.01190186,29.3008213,10.90731525,13.74248409,30.32305145,29.75554848,10.89510727
2015/11/25,24149.00390625,14183.81445313,326.62664795,357.30691528,353.06539917,347.13241577,353.67575073,358.26544189,355.04083252,319.0987854,633.28851318,614.73022461,635.20397949,599.27581787,570.54949951,615.38317871,616.72924805,610.1539917,1249.43688965,1190.77905273,1213.82312012,811.4319458,826.77374268,1.09969556,0.96577281,2.60584044,2.86449981,2.53179288,2.5761292,2.99654078,2.93931007,3.00171185,2.79978037,716.74157715,13.48307705,30.01190186,29.3008213,10.90731525,13.58204174,29.6305275,29.22027397,10.95597172
2015/11/26,23141.85546875,14209.98535156,332.30401611,362.51647949,359.48608398,351.49676514,352.45504761,358.55838013,352.56005859,314.28070068,634.65124512,617.91516113,637.33874512,601.78826904,564.34777832,611.55358887,616.22814941,607.90545654,1236.89624023,1178.06872559,1202.92651367,814.49291992,826.24658203,1.12995625,0.98278594,2.62199044,2.90587354,2.53648615,2.46442938,2.95423174,2.8329761,3.17321372,2.79978037,713.33258057,13.48307705,30.01190186,29.3008213,10.90731525,13.79952621,30.15524483,29.94400406,10.9947176
